>>>>Average pose  error: lat  11.6267 	lon 50.8329 	 alt 24.6688
>>>>Average pose  error: lat  11.6267 	lon 50.8329 	 alt 24.6688
>>>>Average pose  error: lat  11.6267 	lon 50.8329 	 alt 24.6688
>>>>Average pose  error: lat  11.0879 	lon 48.2732 	 alt 395.98
>>>>Average pose  error: lat  25.2202 	lon 45.6303 	 alt 30.4481
>>>>Average pose  error: lat  25.2202 	lon 45.6303 	 alt 30.4481
>>>>Average pose  error: lat  19.7865 	lon 9.79381 	 alt 396.085
>>>>Average pose  error: lat  15.2538 	lon 35.6806 	 alt 30.4481
>>>>Average pose  error: lat  16.7444 	lon 35.6806 	 alt 28.9576
>>>>Average pose  error: lat  25.2202 	lon 45.6303 	 alt 30.4481
>>>>Average pose  error: lat  25.2202 	lon 44.1557 	 alt 28.9576
>>>>Average pose  error: lat  15.2538 	lon 44.1557 	 alt 38.9239
>>>>Average pose  error: lat  25.2202 	lon 45.6502 	 alt 27.4481
>>>>Average pose  error: lat  25.2202 	lon 45.6303 	 alt 30.4481
>>>>Average pose  error: lat  25.2202 	lon 45.6303 	 alt 30.4481
>>>>Average pose  error: lat  25.2202 	lon 45.6303 	 alt 30.4481
>>>>Average pose  error: lat  22.0763 	lon 45.5156 	 alt 20.2168
>>>>Average pose  error: lat  22.0419 	lon 45.8865 	 alt 19.7644
>>>>Average pose  error: lat  21.8207 	lon 45.8939 	 alt 20.0537
>>>>Average pose  error: lat  60.1347 	lon 7.75892 	 alt 223.884
>>>>Average pose  error: lat  60.1347 	lon 7.75892 	 alt 223.884
>>>>Average pose  error: lat  60.1347 	lon 7.75892 	 alt 223.884
>>>>Average pose  error: lat  21.8207 	lon 45.8939 	 alt 20.0537
>>>>Average pose  error: lat  27.6609 	lon 45.9522 	 alt 21.3553
>>>>Average pose  error: lat  80.0349 	lon 3.1448 	 alt 238.901
>>>>Average pose  error: lat  68.5892 	lon 7.19461 	 alt 243.293
>>>>Average pose  error: lat  65.4989 	lon 6.57432 	 alt 244.255
>>>>Average pose  error: lat  68.5892 	lon 7.19461 	 alt 243.293
>>>>Average pose  error: lat  68.5892 	lon 7.19461 	 alt 243.293
>>>>Average pose  error: lat  2.05988 	lon 0.634721 	 alt 392.318
>>>>Average pose  error: lat  2.05988 	lon 0.634721 	 alt 392.318
>>>>Average pose  error: lat  2.05988 	lon 0.634721 	 alt 392.318
>>>>Average pose  error: lat  2.05988 	lon 0.634721 	 alt 392.318
>>>>Average pose  error: lat  2.05988 	lon 0.634721 	 alt 392.318
>>>>Average pose  error: lat  2.05988 	lon 0.634721 	 alt 392.318
>>>>Average pose  error: lat  2.05988 	lon 0.634721 	 alt 392.318
>>>>Average pose  error: lat  2.79932 	lon 24.9337 	 alt 391.587
>>>>Average pose  error: lat  2.05988 	lon 0.634721 	 alt 392.318
>>>>Average pose  error: lat  2.05988 	lon 0.634721 	 alt 392.318
>>>>Average pose  error: lat  2.05988 	lon 0.634721 	 alt 392.318
>>>>Average pose  error: lat  2.79932 	lon 24.9337 	 alt 391.587
>>>>Average pose  error: lat  2.05988 	lon 11.5408 	 alt 391.588
>>>>Average pose  error: lat  6.20563 	lon 0.637016 	 alt 392.453
>>>>Average pose  error: lat  2.05988 	lon 0.634721 	 alt 392.318
>>>>Average pose  error: lat  2.79932 	lon 24.9337 	 alt 391.587
>>>>Average pose  error: lat  2.05988 	lon 50.5219 	 alt 392.318
>>>>Average pose  error: lat  68.5892 	lon 7.19461 	 alt 243.293
>>>>Average pose  error: lat  2.05988 	lon 0.634721 	 alt 392.318
>>>>Average pose  error: lat  2.05988 	lon 0.634721 	 alt 392.318
>>>>Average pose  error: lat  2.79932 	lon 24.9337 	 alt 391.587
>>>>Average pose  error: lat  2.05988 	lon 0.634721 	 alt 392.318
>>>>Average pose  error: lat  2.79932 	lon 0.147995 	 alt 392.336
>>>>Average pose  error: lat  2.79932 	lon 114.319 	 alt 392.336
>>>>Average pose  error: lat  2.79932 	lon 0.147995 	 alt 392.336
>>>>Average pose  error: lat  2.79932 	lon 0.147995 	 alt 392.336
>>>>Average pose  error: lat  24.2726 	lon 46.2358 	 alt 30.4429
>>>>Average pose  error: lat  2.79932 	lon 0.147995 	 alt 392.336
>>>>Average pose  error: lat  2.79932 	lon 0.147995 	 alt 391.936
>>>>Average pose  error: lat  2.79932 	lon 0.147995 	 alt 392.536
>>>>Average pose  error: lat  2.79932 	lon 0.147995 	 alt 0.152091
>>>>Average pose  error: lat  2.79932 	lon 0.147995 	 alt 0.152091
>>>>Average pose  error: lat  69.4889 	lon 9.03457 	 alt 148.312
>>>>Average pose  error: lat  27.0962 	lon 45.6906 	 alt 3.43506
>>>>Average pose  error: lat  27.0962 	lon 45.6906 	 alt 3.43506
>>>>Average pose  error: lat  24.2726 	lon 46.2358 	 alt 7.91186
>>>>Average pose  error: lat  24.2726 	lon 46.2358 	 alt 7.91186
>>>>Average pose  error: lat  18.4639 	lon 37.156 	 alt 7.68386
>>>>Average pose  error: lat  24.2726 	lon 46.2358 	 alt 7.91186
>>>>Average pose  error: lat  27.0962 	lon 45.6906 	 alt 3.43506
>>>>Average pose  error: lat  3.98376 	lon 5.2396 	 alt 0.2294
>>>>Average pose  error: lat  3.98376 	lon 5.2396 	 alt 0.2294
>>>>Average pose  error: lat  24.3463 	lon 46.644 	 alt 7.87871
>>>>Average pose  error: lat  5.24169e+06 	lon 591518 	 alt 112.21
>>>>Average pose  error: lat  5.24169e+06 	lon 591518 	 alt 112.21
>>>>Average pose  error: lat  5.24169e+06 	lon 591517 	 alt 113.035
>>>>Average pose  error: lat  14.3705 	lon 46.6538 	 alt 6.3787
>>>>Average pose  error: lat  20.1246 	lon 38.5426 	 alt 7.93923
>>>>Average pose  error: lat  20.1246 	lon 38.5426 	 alt 7.93923
>>>>Average pose  error: lat  20.1246 	lon 38.5426 	 alt 7.93923
>>>>Average pose  error: lat  3.98376 	lon 5.2396 	 alt 0.2294
>>>>Average pose  error: lat  2.79932 	lon 0.147995 	 alt 0.152091
>>>>Average pose  error: lat  2.79932 	lon 0.147995 	 alt 0.152091
>>>>Average pose  error: lat  3.98376 	lon 5.2396 	 alt 0.2294
